Name;Stimulus;norm_Val_SD;norm_Val_Mean;norm_Ar_SD;norm_Ar_Mean
Seal;1440;8.43;1.44;4.47;2.82
Kittens;1463;7.81;1.96;5.11;2.17
Rabbit;1610;8.39;0.91;3.33;2.36
Puppies;1710;8.59;0.99;5.31;2.54
Jaguars;1722;7.18;2.30;5.60;2.68
Bunnies;1750;8.59;0.75;4.02;2.40
Father;2057;8.39;0.94;4.73;2.75
Baby;2070;8.50;1.28;4.84;2.97
Father;2160;8.16;1.28;5.03;2.25
Father;2165;8.29;1.17;5.05;2.67
Family;2340;8.34;1.10;4.53;2.29
Family;2360;8.20;1.59;3.67;2.52
SadChild;2800;1.41;0.79;5.87;2.13
Tumor;3261;1.70;1.43;5.92;2.60
EroticFemale;4180;4.21;1.84;3.62;2.36
EroticFemale;4290;3.67;1.60;4.10;2.34
EroticMale;4531;6.96;1.52;5.79;2.44
EroticMale;4550;6.22;1.86;6.24;2.04
EroticMale;4561;6.10;2.00;5.90;2.27
EroticCouple;4658;6.08;2.05;6.16;2.17
Flower;5030;7.18;1.56;3.08;2.24
Mountains;5600;7.83;1.28;4.56;2.88
Leaves;5800;6.51;1.57;2.47;1.80
Sky;5982;7.85;1.26;2.77;2.78
Abduction;6312;2.98;1.47;6.83;2.19
Attack;6313;1.61;1.22;7.27;2.29
Checkerboard;7182;5.03;1.38;4.02;2.11
Clock;7211;4.69;1.92;4.54;2.46
FileCabinets;7224;4.51;1.25;3.01;2.00
AbstractArt;7238;6.55;1.53;4.11;2.17
RoachOnPizza;7380;2.31;1.26;6.22;2.29
Pasta;7480;7.00;1.62;4.02;2.53
Food;7481;6.59;2.06;5.06;2.25
Cemetry;9220;1.86;1.46;4.16;1.84
Dirty;9300;1.83;1.37;6.21;2.31
Vomit;9320;2.26;1.82;5.32;2.82
DentalExam;9584;3.29;1.55;5.15;2.03
Injection;9592;2.88;1.67;5.32;2.12
Injection;9594;3.56;1.90;5.53;2.10
Ship;9600;1.90;1.18;6.70;2.47
CarAccident;9911;1.88;1.16;6.28;2.06
CarAccident;9920;2.37;1.62;5.84;1.80
Fire;9921;1.58;1.06;6.87;1.94
